vendor,service_name,service_category,start_time,end_time,user_symptom,user_symptom_category,root_cause,root_cause_category,model,time_sec,tokens_used,cached_tokens,year
Azure,Azure Service Management,MANAGEMENT,,20200306T16:03:00,a subset of customers in the Azure China regions may have encountered failures when performing service management operations on resources hosted in these regions. Customers may also have experienced authentication failures when attempting to access the Azure portal or other Azure resources in the Azure China regions.,"ERROR,UNAVIL","This issue was in a telecom provider and it impacted both Azure and other customers of the CA. It caused clients to fail certificate validation, which in turn caused failure in connecting to Azure services.",EXTERNAL,gpt-4o-mini,3.319,2899,1024,2020.0
Azure,Managed Identities for Azure resources,SECURITY,,20240712T06:28:00,some of our 'Managed Identities for Azure resources' customers to experience failures when requesting managed identity tokens or performing management operations for managed identities in the Australia East region.,"ERROR,UNAVIL","the required deployment for key automation did not complete successfully - because these regions had previously been pinned to an older build of the service, for unrelated reasons.",DEPLOY,gpt-4o-mini,3.061,3909,1024,2024.0
Azure,Azure Active Directory B2C,SECURITY,,20201027T11:10:00,Customers may have received an HTTP status code 502 (Bad Gateway) or HTTP status code 504 (Gateway Timeout).,ERROR,a configuration change was compounded by a surge in traffic which exceeded the regions' operational thresholds and required the Azure AD B2C Service to be augmented.,CONFIG,gpt-4o-mini,2.605,2490,1024,2020.0
Azure,Azure Active Directory B2C,SECURITY,,20220316T10:22:00,end-users of customers using Azure Active Directory B2C may have experienced errors and timeouts when attempting to sign in or sign up.,"ERROR,DELAY",The service experienced a significant increase in workload in the affected region during a planned maintenance operation.,MAINTAIN,gpt-4o-mini,3.018,2406,1024,2022.0
Azure,App Service,COMPUTE,,20211210T00:23:00,"a subset of customers using App Service and/or Azure Functions may have encountered issues with deployments using web deploy, managing WebJobs, connecting to Web SSH console, executing certain Diagnostic Tools using Azure portal or while accessing SCM endpoint.","ERROR,UNAVIL","a misconfiguration, this change incorrectly affected the name resolution for App Service SCM endpoint, which resulted in a subset of our customers not being able to connect to the SCM endpoints of the service.",CONFIG,gpt-4o-mini,3.011,2526,1024,2021.0
Azure,Azure CDN,NETWORK,,20191211T18:48:00,clients of customers attempting to reach Azure CDN from Verizon endpoints would intermittently receive HTTP (5XX) errors or connection failures instead of expected content.,"ERROR,UNAVIL","A recent change to Verizon's deployment pipeline introduced a latent bug that caused some deployment service health notifications to provide incorrect health status. An improperly encoded configuration file was deployed to production, causing service instability across their global PoPs.",DEPLOY,gpt-4o-mini,2.999,2810,1024,2019.0
Azure,Azure Key Vault,SECURITY,,20220819T02:22:00,"experience provisioning failures globally for Azure offerings such as Bastion, ExpressRoute, Azure Container Apps, Azure ML, Azure Managed HSM, Azure Confidential VMs, Azure Database Services.",ERROR,The requesting authority for Azure Key Vault was experiencing high latency and volume of requests due to an unexpected spike in traffic during scheduled hardware maintenance.,MAINTAIN,gpt-4o-mini,2.851,2725,1024,2022.0
Azure,Virtual Machines,COMPUTE,,20220212T06:30:00,"you were identified as a customer using Virtual Machines, Azure SQL and Storage in West US who may have experienced connection failures when trying to access some resources hosted in the region.",UNAVIL,a subset of storage resources experienced a drop in network connectivity.,OVERLOAD,gpt-4o-mini,2.798,2214,1024,2022.0
Azure,Azure Portal,MANAGEMENT,,20200224T22:15:00,a limited subset of customers may have encountered HTTP 503 error codes when attempting to access the Azure Portal.,"ERROR,UNAVIL",an internal automation workflow was generating a high volume of requests to a backend CosmosDB partition on which the Azure Portal relies.,OVERLOAD,gpt-4o-mini,2.493,2267,1024,2020.0
Azure,Azure Portal,MANAGEMENT,,20200430T11:00:00,"a subset of customers may have experienced issues accessing resources in their Azure Portal and received an ""Access Denied"" error message.","ERROR,UNAVIL",a recent deployment task introduced a software bug which impacted the synchronization of Role-Based Access Control (RBAC) information for resource management services.,DEPLOY,gpt-4o-mini,2.544,2377,1024,2020.0
Azure,Azure Data Factory V2,OTHERS,,20220114T20:00:00,"a subset of customers may have experienced issues, timeouts, or failures for some service management operations for services leveraging Azure Resource Manager (ARM).","ERROR,UNAVIL",We have identified a change to backend role instances leveraged by Azure Resource Manager causing the timeouts and is root cause of the failure.,DEPLOY,gpt-4o-mini,2.517,2628,1024,2022.0
Azure,Azure resources,NETWORK,,20210309T17:37:00,customers in these areas may have experienced intermittent issues connecting to Azure resources.,UNAVIL,A regional networking fiber cut resulted in a brief loss of connectivity to Microsoft resources.,EXTERNAL,gpt-4o-mini,2.701,2522,1024,2021.0
Azure,Microsoft Azure Portal,MANAGEMENT,,20210510T17:55:00,customers may have experienced intermittent 500-level errors or an intermittent latency when accessing the Azure portal.,"ERROR,DELAY","The Azure portal frontend endpoints in the US North Central region experienced an increase in CPU usage, causing some instances to not serve traffic as fast as expected.",OVERLOAD,gpt-4o-mini,2.75,2290,1024,2021.0
Azure,Azure Front Door,NETWORK,,20201006T21:19:00,a subset of customers may have experienced traffic routing to unhealthy backends.,UNAVIL,"A configuration change was deployed, causing the incorrect routing of traffic to unhealthy backends.",CONFIG,gpt-4o-mini,2.411,2260,1024,2020.0
Azure,Microsoft Graph,OTHERS,,20211115T17:00:00,a subset of customers primarily located in the North America and APAC geographies may have encountered intermittent 400-level errors when attempting to access Microsoft Graph APIs.,ERROR,a recent update to improve the underlying Microsoft Graph API infrastructure created a configuration issue between the Microsoft Graph API interface and its underlying Internet Information Services driver.,CONFIG,gpt-4o-mini,3.04,2332,1024,2021.0
Azure,Azure Portal,MANAGEMENT,,20200205T22:10:00,a subset of customers may have experienced difficulties connecting to the Azure Portal.,UNAVIL,Engineers will continue to investigate to establish the full root cause and prevent future occurrences.,UNKNOWN,gpt-4o-mini,2.337,2225,1024,2020.0
Azure,Azure DevOps,MANAGEMENT,,20200704T03:40:00,customers using Azure DevOps in multiple regions may have observed connectivity errors to DevOps services.,UNAVIL,We identified an inadvertent error with a configuration change in the back-end service which caused the outage.,CONFIG,gpt-4o-mini,2.921,2245,1024,2020.0
Azure,Microsoft Graph API,OTHERS,,20211216T17:30:00,a subset of users in North America may have experienced performance issues and timeout errors with Microsoft Graph APIs.,"ERROR,DELAY",the scaling out process was affected by an internal infrastructure issue leading to high CPU usage.,OVERLOAD,gpt-4o-mini,2.315,2265,1024,2021.0
Azure,Azure Frontdoor,NETWORK,,20210216T13:30:00,a subset of customers using Azure Frontdoor in Europe may have experience timeouts and/or issues connecting to resources.,"DELAY,UNAVIL","Engineers determined that a backend network device became unhealthy, and traffic was not automatically rerouted.",DEPLOY,gpt-4o-mini,2.547,2326,1024,2021.0
Azure,"Application Gateway/WAF V2 SKU, Azure Firewall, and Azure Bastion",MANAGEMENT,,20200123T00:56:00,"a subset of customers using Application Gateway/WAF V2 SKU, Azure Firewall, and Azure Bastion services may have received failure notifications when performing service management operations—such as create/scale, update, and delete.",ERROR,a recent deployment task impacted service-to-service communication which resulted in failure of management requests.,DEPLOY,gpt-4o-mini,3.019,2307,1024,2020.0
Azure,Azure Portal,MANAGEMENT,,20210909T01:24:00,customers may have experienced issues while trying to create an application on the Azure portal when signed-in with their Microsoft Account (MSA).,ERROR,this issue was caused due to insufficient capacity to handle requests.,OVERLOAD,gpt-4o-mini,2.383,2270,1024,2021.0
Azure,Azure CDN,NETWORK,,20200821T19:55:00,a subset of customers using Azure CDN from Verizon may have experienced service degradation.,DEPERF,"a recent deployment task impacted connectivity to origins, causing dynamic or cache miss requests to fail.",DEPLOY,gpt-4o-mini,2.013,2234,1024,2020.0
Azure,Azure Portal,MANAGEMENT,,20210430T08:45:00,a subset of customers may have experienced intermittent HTTP 500 errors or general latency when trying to access the Azure Portal.,"ERROR,DELAY","the Azure portal frontend endpoints in UK South began scaling up their instances to support the daily traffic, but instances didn’t serve traffic as fast as expected, leading to degraded customer experience.",DEPLOY,gpt-4o-mini,3.183,2383,1024,2021.0
Azure,Azure Network Infrastructure,NETWORK,,20210115T20:15:00,"customers located in Argentina attempting to access the Azure Portal and/or Azure Resources may have experienced degraded performance, network drops, or timeouts.","DEPERF,UNAVIL","a network device, affecting network traffic in Argentina, experienced a hardware fault and that network traffic was not automatically rerouted.",DEPLOY,gpt-4o-mini,2.89,2302,1024,2021.0
Azure,Azure,NETWORK,,20200511T13:50:00,a limited subset of customers in the United Kingdom may have experienced connectivity issues to Azure sites and services.,UNAVIL,Engineers have confirmed the issue was caused by a power event at a regional internet service provider network exchange.,EXTERNAL,gpt-4o-mini,2.316,2243,1024,2020.0
Azure,Azure Speech Service,AI,,20210504T11:35:00,"a subset of customers using Azure Speech Service in West Europe may have experienced failures with online transcription, batch transcription, custom speech, and translation.",ERROR,"during recent deployment a part of the code lost access to KeyVault, preventing the App Service that Azure Speech Service is dependent on from running as expected.",DEPLOY,gpt-4o-mini,4.699,2350,0,2021.0
Azure,Cognitive Services,AI,,20210721T09:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a subset of cognitive services backend compute clusters were impacted during this incident, causing them to be unable to service customer requests. This issue was triggered by a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters.",DEPLOY,gpt-4o-mini,3.062,2318,0,2021.0
Azure,Cognitive Services,AI,,20210721T09:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a subset of cognitive services backend compute clusters were impacted during this incident, causing them to be unable to service customer requests. This issue was triggered by a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters.",DEPLOY,gpt-4o-mini,4.607,2317,0,2021.0
Azure,Cognitive Services,AI,,20210721T09:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a subset of cognitive services backend compute clusters were impacted during this incident, causing them to be unable to service customer requests. This issue was triggered by a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters.",DEPLOY,gpt-4o-mini,3.695,2317,0,2021.0
Azure,Azure Cognitive Services,AI,,20210721T09:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a subset of cognitive services backend compute clusters were impacted during this incident, causing them to be unable to service customer requests. This issue was triggered by a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters.",DEPLOY,gpt-4o-mini,2.868,2317,0,2021.0
Azure,Cognitive Services,AI,,20210721T09:55:00,customers using Cognitive Services may have experienced difficulties connecting to resources. Impacted customers may have experienced timeouts or 401 authorization errors.,"ERROR,UNAVIL","a pending (deployed, but awaiting reboot) OS security update which had introduced a networking change on the updated clusters. The networking update unintentionally caused a networking state which was not supported, and thus when the update was staged, the machines lost network connectivity and could no longer handle requests.",DEPLOY,gpt-4o-mini,2.273,2710,0,2021.0
